date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:38:05	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2029%20Aug%202020%2019:38:09%20GMT	http://www.vintagepointsblog.com/?p=302&share=facebook	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index2fbe.html	(from http://www.vintagepointsblog.com/?p=302)
12:38:06	50402/50402	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:09%20GMT	http://www.vintagepointsblog.com/?cat=3&paged=1	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index68c1.html	(from http://www.vintagepointsblog.com/?cat=3&paged=2)
12:38:08	50888/50888	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:10%20GMT	http://www.vintagepointsblog.com/?p=233	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index85b0.html	(from http://www.vintagepointsblog.com/?cat=3&paged=3)
12:38:08	51024/51024	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:10%20GMT	http://www.vintagepointsblog.com/?p=230	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index9fa1.html	(from http://www.vintagepointsblog.com/?cat=3&paged=3)
12:38:08	68942/68942	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:10%20GMT	http://www.vintagepointsblog.com/?p=238	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index3dc6.html	(from http://www.vintagepointsblog.com/?cat=3&paged=3)
12:38:09	50738/50738	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:11%20GMT	http://www.vintagepointsblog.com/?p=224	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/indexc902.html	(from http://www.vintagepointsblog.com/?cat=3&paged=3)
12:38:10	50396/50396	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:13%20GMT	http://www.vintagepointsblog.com/?p=202	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index6452.html	(from http://www.vintagepointsblog.com/?cat=3&paged=3)
12:38:10	50869/50869	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:13%20GMT	http://www.vintagepointsblog.com/?p=216	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index4659.html	(from http://www.vintagepointsblog.com/?cat=3&paged=3)
12:38:10	50782/50782	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:13%20GMT	http://www.vintagepointsblog.com/?p=201	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index5721.html	(from http://www.vintagepointsblog.com/?cat=3&paged=4)
12:38:11	52709/52709	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:14%20GMT	http://www.vintagepointsblog.com/?p=195	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index78d6.html	(from http://www.vintagepointsblog.com/?cat=3&paged=4)
12:38:11	49754/49754	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:15%20GMT	http://www.vintagepointsblog.com/?p=176	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/index3440.html	(from http://www.vintagepointsblog.com/?cat=3&paged=4)
12:38:12	49925/49925	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Aug%202020%2019:38:16%20GMT	http://www.vintagepointsblog.com/?p=175	C:/GitHub/mffais.github.io/vintagepoints/vintagepoints/www.vintagepointsblog.com/indexa09e.html	(from http://www.vintagepointsblog.com/?cat=3&paged=4)
